operator_name,operator_role,role_label,login_time,logout_time,photo_path
Developer,developer,開發者,2026-07-09 12:01:56,2026-07-09 16:35:21,
Developer,developer,開發者,2026-07-09 11:25:38,2026-07-09 12:01:34,
Developer,developer,開發者,2026-07-09 11:15:09,2026-07-09 11:23:29,
Developer,developer,開發者,2026-07-09 10:33:11,2026-07-09 10:54:11,
Developer,developer,開發者,2026-07-09 10:03:33,2026-07-09 10:08:39,
Developer,developer,開發者,2026-07-09 09:57:46,2026-07-09 10:03:15,
Developer,developer,開發者,2026-07-09 08:58:42,2026-07-09 09:57:24,
Developer,developer,開發者,2026-07-09 08:56:07,2026-07-09 08:57:19,
Developer,developer,開發者,2026-07-08 17:31:35,2026-07-09 06:06:09,
